name,caption
1.png,Покемон типа травы и ядовитого типа
2.png,Покемон типа травы и ядовитого типа
3.png,Покемон типа травы и ядовитого типа
4.png,Покемон огня
5.png,Покемон огня
6.png,Покемон пожарного типа и летающий
7.png,Покемон воды
8.png,Покемон воды
9.png,Покемон воды
10.png,Покемон типа ошибки
11.png,Покемон типа ошибки
12.png,Покемон типа ошибки и летающий
13.png,Покемон типа ошибок и ядовитого типа
14.png,Покемон типа ошибок и ядовитого типа
15.png,Покемон типа ошибок и ядовитого типа
16.png,Покемон нормального типа и летающего типа
17.png,Покемон нормального типа и летающего типа
18.png,Покемон нормального типа и летающего типа
19.png,Покемон нормального типа
20.png,Покемон нормального типа
21.png,Покемон нормального типа и летающего типа
22.png,Покемон нормального типа и летающего типа
23.png,Покемон ядовитого типа
24.png,Покемон ядовитого типа
25.png,Покемон электрического типа
26.png,Покемон электрического типа
27.png,Покемон наземного типа
28.png,Покемон наземного типа
29.png,Покемон ядовитого типа
30.png,Покемон ядовитого типа
31.png,Тип ядовита и покемонов
32.png,Покемон ядовитого типа
33.png,Покемон ядовитого типа
34.png,Тип ядовита и покемонов
35.png,Сказочный покемон
36.png,Сказочный покемон
37.png,Покемон огня
38.png,Покемон огня
39.png,Покемон нормального типа и сказочного типа
40.png,Покемон нормального типа и сказочного типа
41.png,Ядовитый и покемон
42.png,Ядовитый и покемон
43.png,Покемон типа травы и ядовитого типа
44.png,Покемон типа травы и ядовитого типа
45.png,Покемон типа травы и ядовитого типа
46.png,Покемон типа ошибки и травяного типа
47.png,Покемон типа ошибки и травяного типа
48.png,Покемон типа ошибок и ядовитого типа
49.png,Покемон типа ошибок и ядовитого типа
50.png,Покемон наземного типа
51.png,Покемон наземного типа
52.png,Покемон нормального типа
53.png,Покемон нормального типа
54.png,Покемон воды
55.png,Покемон воды
56.png,Покемон боевого типа
57.png,Покемон боевого типа
58.png,Покемон огня
59.png,Покемон огня
60.png,Покемон воды
61.png,Покемон воды
62.png,Покемон с водным типом и боевым типом
63.png,Покемон психического типа
64.png,Покемон психического типа
65.png,Покемон психического типа
66.png,Покемон боевого типа
67.png,Покемон боевого типа
68.png,Покемон боевого типа
69.png,Покемон типа травы и ядовитого типа
70.png,Покемон типа травы и ядовитого типа
71.png,Покемон типа травы и ядовитого типа
72.png,Покемон типа водяного типа и ядовитого типа
73.png,Покемон типа водяного типа и ядовитого типа
74.png,Покемон типа рок-типа и наземного типа
75.png,Покемон типа рок-типа и наземного типа
76.png,Покемон типа рок-типа и наземного типа
77.png,Покемон огня
78.png,Покемон огня
79.png,Покемон типа воды и психического типа
80.png,Покемон типа воды и психического типа
81.png,Электрический и стальной покемон
82.png,Электрический и стальной покемон
83.png,Покемон нормального типа и летающего типа
84.png,Покемон нормального типа и летающего типа
85.png,Покемон нормального типа и летающего типа
86.png,Покемон воды
87.png,Покемон типа воды и ледяного типа
88.png,Покемон ядовитого типа
89.png,Покемон ядовитого типа
90.png,Покемон воды
91.png,Покемон типа воды и ледяного типа
92.png,Тип призрака и покемонов
93.png,Тип призрака и покемонов
94.png,Тип призрака и покемонов
95.png,Покемон типа рок-типа и наземного типа
96.png,Покемон психического типа
97.png,Покемон психического типа
98.png,Покемон воды
99.png,Покемон воды
100.png,Покемон электрического типа
101.png,Покемон электрического типа
102.png,Покемон типа травы и психического типа
103.png,Покемон типа травы и психического типа
104.png,Покемон наземного типа
105.png,Покемон наземного типа
106.png,Покемон боевого типа
107.png,Покемон боевого типа
108.png,Покемон нормального типа
109.png,Покемон ядовитого типа
110.png,Покемон ядовитого типа
111.png,Покемон наземного типа и рок-типа
112.png,Покемон наземного типа и рок-типа
113.png,Покемон нормального типа
114.png,Покемон типа травы
115.png,Покемон нормального типа
116.png,Покемон воды
117.png,Покемон воды
118.png,Покемон воды
119.png,Покемон воды
120.png,Покемон воды
121.png,Покемон типа воды и психического типа
122.png,Покемон психического типа и сказочного типа
123.png,Покемон типа ошибки и летающий
124.png,Покемон типа льда и психического типа
125.png,Покемон электрического типа
126.png,Покемон огня
127.png,Покемон типа ошибки
128.png,Покемон нормального типа
129.png,Покемон воды
130.png,Покемон типа водяного типа и летающего типа
131.png,Покемон типа воды и ледяного типа
132.png,Покемон нормального типа
133.png,Покемон нормального типа
134.png,Покемон воды
135.png,Покемон электрического типа
136.png,Покемон огня
137.png,Покемон нормального типа
138.png,Покемон типа рок-типа и водяного типа
139.png,Покемон типа рок-типа и водяного типа
140.png,Покемон типа рок-типа и водяного типа
141.png,Покемон типа рок-типа и водяного типа
142.png,Тип рок-типа и покемонов летающего типа
143.png,Покемон нормального типа
144.png,Покемон типа льда и летающего типа
145.png,Электрический тип и покемонов летающего типа
146.png,Покемон пожарного типа и летающий
147.png,Покемон типа дракона
148.png,Покемон типа дракона
149.png,Покемон типа дракона и летающий
150.png,Покемон психического типа
151.png,Покемон психического типа
152.png,Покемон типа травы
153.png,Покемон типа травы
154.png,Покемон типа травы
155.png,Покемон огня
156.png,Покемон огня
157.png,Покемон огня
158.png,Покемон воды
159.png,Покемон воды
160.png,Покемон воды
161.png,Покемон нормального типа
162.png,Покемон нормального типа
163.png,Покемон нормального типа и летающего типа
164.png,Покемон нормального типа и летающего типа
165.png,Покемон типа ошибки и летающий
166.png,Покемон типа ошибки и летающий
167.png,Покемон типа ошибок и ядовитого типа
168.png,Покемон типа ошибок и ядовитого типа
169.png,Ядовитый и покемон
170.png,Покемон воды и электрического типа
171.png,Покемон воды и электрического типа
172.png,Покемон электрического типа
173.png,Сказочный покемон
174.png,Покемон нормального типа и сказочного типа
175.png,Сказочный покемон
176.png,Сказочный и покемон с летающим типом
177.png,Психический тип и покемонов летающего типа
178.png,Психический тип и покемонов летающего типа
179.png,Покемон электрического типа
180.png,Покемон электрического типа
181.png,Покемон электрического типа
182.png,Покемон типа травы
183.png,Покемон воды и сказочного типа
184.png,Покемон воды и сказочного типа
185.png,Покемон рок-типа
186.png,Покемон воды
187.png,Покемон типа травы и летающего типа
188.png,Покемон типа травы и летающего типа
189.png,Покемон типа травы и летающего типа
190.png,Покемон нормального типа
191.png,Покемон типа травы
192.png,Покемон типа травы
193.png,Покемон типа ошибки и летающий
194.png,Покемон типа воды и наземного типа
195.png,Покемон типа воды и наземного типа
196.png,Покемон психического типа
197.png,Темный покемон
198.png,Темный тип и покемонов летающего типа
199.png,Покемон типа воды и психического типа
200.png,Покемон типа призрака
201.png,Покемон психического типа
202.png,Покемон психического типа
203.png,Покемон нормального типа и психического типа
204.png,Покемон типа ошибки
205.png,Покемон типа ошибки и стального типа
206.png,Покемон нормального типа
207.png,Покемон наземного типа и летающего типа
208.png,Стальной и наземной покемон
209.png,Сказочный покемон
210.png,Сказочный покемон
211.png,Покемон типа водяного типа и ядовитого типа
212.png,Покемон типа ошибки и стального типа
213.png,Покемон типа ошибки и рок-типа
214.png,Тип ошибки и покемонов с боевым типом
215.png,Темный и ледяной покемон
216.png,Покемон нормального типа
217.png,Покемон нормального типа
218.png,Покемон огня
219.png,Покемон типа огня и рок-типа
220.png,Покемон типа ледяного типа и наземного типа
221.png,Покемон типа ледяного типа и наземного типа
222.png,Покемон типа воды и рок-типа
223.png,Покемон воды
224.png,Покемон воды
225.png,Покемон типа льда и летающего типа
226.png,Покемон типа водяного типа и летающего типа
227.png,Стальной и летающий покемон
228.png,Темный и огненный покемон
229.png,Темный и огненный покемон
230.png,Покемон типа воды и дракона
231.png,Покемон наземного типа
232.png,Покемон наземного типа
233.png,Покемон нормального типа
234.png,Покемон нормального типа
235.png,Покемон нормального типа
236.png,Покемон боевого типа
237.png,Покемон боевого типа
238.png,Покемон типа льда и психического типа
239.png,Покемон электрического типа
240.png,Покемон огня
241.png,Покемон нормального типа
242.png,Покемон нормального типа
243.png,Покемон электрического типа
244.png,Покемон огня
245.png,Покемон воды
246.png,Покемон типа рок-типа и наземного типа
247.png,Покемон типа рок-типа и наземного типа
248.png,Тип рок-типа и покемонов темного типа
249.png,Психический тип и покемонов летающего типа
250.png,Покемон пожарного типа и летающий
251.png,Покемон психического типа и травяного типа
252.png,Покемон типа травы
253.png,Покемон типа травы
254.png,Покемон типа травы
255.png,Покемон огня
256.png,Покемон пожарного типа и боевого типа
257.png,Покемон пожарного типа и боевого типа
258.png,Покемон воды
259.png,Покемон типа воды и наземного типа
260.png,Покемон типа воды и наземного типа
261.png,Темный покемон
262.png,Темный покемон
263.png,Покемон нормального типа
264.png,Покемон нормального типа
265.png,Покемон типа ошибки
266.png,Покемон типа ошибки
267.png,Покемон типа ошибки и летающий
268.png,Покемон типа ошибки
269.png,Покемон типа ошибок и ядовитого типа
270.png,Покемон типа воды и травяного типа
271.png,Покемон типа воды и травяного типа
272.png,Покемон типа воды и травяного типа
273.png,Покемон типа травы
274.png,Покемон типа травы и темного типа
